throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent
0,0,0,0,0,0,0,0.025839952835109935,62.102900679760864
1,0,0,0,0,0,1,0.03208356253218875,62.18033582327167
0,0,0,0,0,0,0,0.03210763159881321,62.2272587793173
0,0,0,0,0,0,0,0.027331162678850975,62.281164782736106
0,0,0,0,0,0,0,0.0312229552862862,62.37501950381338
0,0,0,1,0,0,1,0.027431072955661166,62.39927193087041
0,0,0,0,0,0,0,0.02345034747913446,62.46209806669221
0,0,0,0,0,0,0,0.026439148258597465,62.50877628909057
0,0,0,0,0,4,4,0.02659597398009875,62.60317286016495
0,0,0,2,0,0,2,0.015462144910163008,62.712603409390155
0,0,0,0,0,0,0,0.017100696663478222,62.74385988228419
0,0,0,1,0,0,1,0.015753169551599965,62.806413471563886
