throuphput_KLONGTEI,throuphput_KASEMRAT,throuphput_NARANONG,throuphput_SUNLAKAKHON,throuphput_RAMA4,throuphput,mean_speed,jamlength_percent
6,11,0,7,11,44,1.0911030171492275,20.77278223550029
0,12,6,2,2,29,1.1597931900809408,21.183029083308682
5,11,0,1,6,31,1.0457646010864272,21.36109311081536
1,21,2,3,4,36,1.1460141602579546,21.614187456328292
4,12,5,2,9,38,1.0146653138094628,22.107780725207824
3,15,0,6,5,37,1.0171654015562461,22.081985127005442
0,9,0,0,8,23,0.9418071686197084,22.463202438572413
8,19,15,3,7,56,1.3256792711084664,20.641386346835933
5,12,1,3,10,38,1.2483028840454125,21.44420693414345
6,12,5,3,2,33,1.143420154703119,21.72637676480856
1,16,10,1,5,39,1.0681927251161885,22.494559899212323
0,7,2,4,8,24,0.9694070894355249,22.780697495055175
7,14,12,0,0,42,0.8906679569431196,23.21958028528369
0,3,6,4,0,16,0.9441188241349748,23.161589996966576
0,6,0,3,8,23,0.8703364381883754,23.545225397258164
0,7,1,0,10,25,0.800571657063696,23.886906357907723
14,8,1,2,1,30,0.7138921796031669,24.12209184217714
0,7,8,2,0,18,0.7407579123161694,24.294421754354442
0,5,0,1,8,19,0.7892474015546699,24.38953838368286
0,4,0,5,5,20,0.6881037290130302,24.8430847005341
0,4,0,0,13,25,0.7286337803248556,24.961709669493985
10,9,4,0,1,25,0.6976591560112326,25.12160491322611
0,8,5,2,2,23,0.654605197925607,25.149679227434056
3,4,5,2,0,18,0.6433203765977811,25.218005762904298
0,5,5,3,7,22,0.6727532687279246,25.376645572510284
3,6,6,4,13,38,0.6858645325095809,25.226630570518527
1,8,5,1,4,23,0.7790700416626205,25.34817752376076
0,7,11,3,8,35,0.744090281058277,25.72516291745681
10,6,9,3,6,41,0.7471115416331845,25.568291224363893
0,7,5,1,4,17,0.7356640765368067,26.294827566363054
5,6,1,2,10,30,0.7252748307235832,26.33280055823469
0,7,5,1,8,25,0.7206547317529908,26.51700854437025
4,10,11,1,9,35,0.8366300186229305,26.41699037424013
6,12,7,2,10,38,0.8924067037451633,26.27920988620451
6,4,8,2,2,24,0.8634455535776385,26.54107182537098
0,12,5,1,4,22,0.8994603410606813,26.577668928486688
0,9,5,0,3,19,0.8111047853042967,26.920400916726486
0,10,1,0,2,15,0.8280879412728035,27.13439911796819
0,8,5,0,2,18,0.7044761677899116,27.478754783729848
0,0,5,2,17,24,0.7384672764247108,27.836960973947114
13,6,3,0,5,28,0.6173708454559071,28.18829569628243
3,6,1,2,0,14,0.6525667947823117,28.722688453960387
0,8,0,1,6,15,0.6286474548531779,28.901841624534008
0,0,1,2,20,24,0.7119196447889736,28.99731937618324
28,4,1,2,9,47,0.8561721146605163,28.885530738067136
10,6,4,4,8,41,0.8720294665350906,28.433595272217552
16,9,5,3,6,46,0.904588221117297,27.96544517914915
10,8,5,1,0,25,0.9809743307850113,27.84926781711926
12,0,5,3,16,46,0.9613296118096468,28.597534274354093
8,7,5,2,7,40,0.9008971062745554,28.94304431080748
14,9,6,2,8,44,0.9809248438685603,29.22429204486468
3,7,5,5,8,29,0.9951622604992509,28.579691508722018
8,3,5,4,7,31,0.9113798318499199,29.18850373594776
5,2,7,1,5,20,0.8018599509173315,29.733207561803475
5,3,5,1,8,28,0.9090896731951282,29.997062117565967
8,8,6,4,2,28,0.8984824028236785,29.404631181871448
11,10,5,1,6,41,0.9491257170038022,29.689506401047545
7,2,6,3,15,39,0.9120051635905051,30.04430375064803
9,7,6,2,14,40,0.8968351804967574,30.47574095231692
10,3,5,2,0,24,0.7763405460563542,31.604397817411225
9,5,5,1,20,56,0.8250746693492859,31.11994374249562
9,9,5,2,2,32,0.760671008793533,32.11342695985182
7,0,5,1,11,24,0.7975712103977118,31.662010411015004
