throughput_KLONGTEI,throughput_KASEMRAT,throughput_NARANONG,throughput_SUNLAKAKHON,throughput_RAMA4, throughput_ATTHAKAVI_RAMA4,throughput,mean_speed,jamlength_percent,Backlog
0,16,5,0,0,2,23,0.30756088064516207,41.64203650009492,2807
0,3,5,0,0,5,13,0.29958063417632236,41.81607196411121,2816
0,2,5,0,0,4,11,0.286967271852724,41.65115580924382,2826
0,1,0,0,7,4,12,0.26471439320652673,41.91362605951484,2832
2,4,0,0,13,2,21,0.28719292669495855,42.056517517819664,2836
0,1,0,0,11,3,15,0.25717785208630906,42.288846400805014,2842
1,2,0,0,1,2,6,0.21615268829983245,42.459290200039796,2842
0,0,0,0,1,2,3,0.18622123291712242,42.53425940373969,2846
4,0,0,0,0,4,8,0.21097013763236955,42.649975005653744,2860
5,2,0,0,0,3,10,0.20423941874128038,42.72672929980255,2865
5,17,0,0,0,3,25,0.26092901445139777,42.59338767123755,2863
3,18,0,0,0,4,25,0.35205445454522327,42.44165241858075,2876
0,1,0,0,0,6,7,0.32468844318552836,42.761829284217384,2890
0,5,0,0,0,4,9,0.29245937262804644,42.92138946123755,2897
0,2,0,0,0,1,3,0.27670079679415754,43.1341186775577,2910
0,0,0,0,0,0,0,0.23677257169982985,43.385083551694585,2915
0,0,0,0,0,0,0,0.22978641172616276,43.68293671841796,2932
0,0,0,0,0,0,0,0.17947775030986574,43.99211842588567,2936
0,0,3,0,7,0,10,0.18111480985708545,43.971172209018704,2941
0,0,5,0,16,0,21,0.21427852800574718,43.90444155719468,2945
0,2,5,0,5,0,12,0.20502494877318742,43.88235531088319,2944
0,10,5,0,0,0,15,0.22360988474000268,43.67322920576761,2941
0,13,5,0,1,0,19,0.29205475395948693,43.27755052862394,2950
7,2,2,0,0,0,11,0.2747796949980078,43.53467641063161,2962
7,0,0,0,1,0,8,0.22706578698666338,43.91035391125203,2963
4,0,3,0,5,0,12,0.2070822003501905,44.068356321669455,2970
1,0,0,0,1,0,2,0.20454992637373448,44.26347929225943,2983
0,0,0,0,0,0,0,0.15911097992697898,44.5539231401185,2989
1,0,0,0,0,0,1,0.1596004881018408,44.886411267805954,3009
0,0,0,0,0,0,0,0.15122906866070585,45.05142026022478,3017
0,0,0,0,0,0,0,0.16654963829377742,45.104622309053156,3027
0,0,4,0,0,0,4,0.17294592813238469,45.20425343234932,3035
0,10,5,0,0,0,15,0.226356583294292,44.94492444538363,3041
0,14,5,0,6,0,25,0.27078962275488405,44.90931828711181,3041
0,2,4,0,15,1,22,0.2936625828761066,45.300961525760336,3045
0,1,1,0,5,2,9,0.23736391457232744,45.06104685970534,3044
0,0,0,0,1,1,2,0.1804925538448596,45.38983913179506,3055
0,0,0,0,2,1,3,0.18810318666224374,45.72295629259717,3062
10,0,0,0,4,0,14,0.17417315517867402,46.50276827150448,3079
5,0,0,0,6,1,12,0.12998261782003084,46.754116598300804,3081
7,1,0,0,1,0,9,0.12721388678258003,46.50374000353353,3088
3,0,0,0,0,0,3,0.09840376756617947,46.91535440563684,3096
0,0,0,0,0,0,0,0.09171428163105662,47.02856840382285,3106
0,11,1,0,0,0,12,0.155504451338258,46.86841927818677,3117
0,14,0,0,0,0,14,0.2139708504221694,47.14918063209581,3133
2,3,0,0,0,0,5,0.19970877797080125,47.16483105068722,3140
0,0,0,0,0,0,0,0.15432318700558972,47.42192800419538,3146
0,0,0,0,0,0,0,0.13322385722064806,47.687462944756,3158
1,0,0,0,6,0,7,0.12479946058153085,47.9665846094079,3167
0,0,0,0,8,0,8,0.11529341421441136,47.87661984124409,3171
0,0,2,0,14,0,16,0.14575289733063101,47.710470231742974,3170
0,0,5,0,1,0,6,0.10439701196455227,47.77120862976742,3167
4,0,5,0,0,0,9,0.09522557206323173,47.83491930217722,3170
5,0,5,0,0,0,10,0.08065980512753933,47.7990992082255,3163
5,10,5,0,0,0,20,0.11920678371974525,47.42834063849042,3156
1,13,3,0,0,0,17,0.16491538476002446,47.39379016239985,3163
0,2,0,0,4,0,6,0.18888093513943335,47.516733124751624,3170
0,0,1,0,7,0,8,0.1915462560723147,47.57328772224505,3176
0,0,5,0,0,0,5,0.15652292271168516,47.98325022306522,3181
0,0,2,0,0,0,2,0.14060941081822295,48.07294795834147,3189
0,0,0,0,0,0,0,0.1312416847730094,48.447319078718586,3200
0,0,0,0,0,0,0,0.0975071987780512,48.60302621405517,3206
0,0,0,0,0,1,1,0.06524548057962266,48.85923723420582,3213
1,0,0,0,8,0,9,0.09059463073752244,48.813198532187414,3212
1,0,0,0,11,0,12,0.09625616707148232,48.88991296053791,3223
0,9,0,0,6,1,16,0.16119170756417248,48.3996695091435,3214
0,10,0,0,1,0,11,0.1652498756856329,48.537073809226435,3222
7,0,0,0,0,0,7,0.14768712954332472,48.69901660264098,3230
4,0,0,0,0,0,4,0.12394182265677783,48.34848395606535,3230
0,0,0,0,1,0,1,0.1310720242787229,48.90319138736232,3242
0,0,0,0,3,0,3,0.12805989366780227,49.014949518378934,3246
0,0,0,0,0,0,0,0.11908449121931625,48.9635641912423,3255
0,0,0,0,0,0,0,0.12223743758764155,49.03440658456238,3266
0,0,0,0,0,0,0,0.16883536823402628,49.4864941672381,3278
0,0,0,0,0,0,0,0.17080174321348598,49.46776847348986,3281
0,0,0,0,0,0,0,0.16168016800385346,49.54444494892749,3286
0,7,0,0,0,0,7,0.17785386514518264,49.454450967160746,3285
0,14,1,0,0,0,15,0.2346800164175667,49.05618274930719,3294
1,5,0,0,6,0,12,0.22877222000256356,48.63744330777886,3298
0,0,0,0,9,1,10,0.19739848287561557,49.483358634698845,3315
0,0,1,0,8,0,9,0.2758666418678272,49.311611503445505,3328
0,0,0,0,4,2,6,0.28986174939437326,49.753219905130784,3347
8,2,1,0,3,1,15,0.28098760065602807,49.79033208825284,3352
6,0,4,0,5,1,16,0.2645525231013588,50.09597831800499,3362
2,1,5,0,4,1,13,0.21348175790847637,50.503196314478146,3363
2,0,5,0,0,0,7,0.1679043838971792,50.69638783724235,3367
0,0,5,0,0,0,5,0.15144033336363513,51.79224160256955,3373
0,3,4,0,0,0,7,0.13551343583948802,51.21678611066079,3378
0,0,1,0,0,0,1,0.11853054137927126,52.2025032507632,3385
4,0,0,0,4,0,8,0.11164942269344733,52.459023197510305,3388
0,0,5,0,0,0,5,0.0971218617328989,52.580111126937716,3397
0,0,0,0,0,0,0,0.10550117049634627,52.9930571185647,3412
0,0,0,0,0,0,0,0.09453351500743468,54.05141307550895,3422
0,0,0,0,5,0,5,0.05980470451069011,54.07377554241108,3429
0,0,0,0,5,0,5,0.0777624212305386,54.166143935814624,3434
0,0,0,0,7,0,7,0.044503091195154255,54.47895634905401,3435
3,0,0,0,0,0,3,0.05105570324628309,54.77756374019543,3449
1,0,0,0,0,0,1,0.05721476297651513,54.63622909726852,3449
0,0,0,0,0,0,0,0.044283430137924344,54.836582441878164,3457
0,0,0,0,1,0,1,0.041082473965356296,55.13593089351656,3466
0,0,0,0,4,0,4,0.05274286480077406,55.04049171795084,3475
1,0,0,0,0,0,1,0.0327470098279296,55.43488182619398,3492
0,0,0,0,0,0,0,0.046046791412715664,55.69902497826816,3505
0,0,0,0,0,0,0,0.02564664336250245,55.92963880203975,3514
0,0,0,0,0,0,0,0.02887107666091983,56.12166549837001,3524
0,0,0,0,0,0,0,0.020890843493150246,56.21535622757286,3527
0,0,0,0,0,0,0,0.026485220008525517,56.261190848105684,3534
0,0,1,0,0,0,1,0.029754596792955144,56.44430291994764,3544
0,0,1,0,3,0,4,0.0471825175897556,56.50251210442562,3550
0,0,0,0,6,0,6,0.05340545421479801,56.53398262542365,3554
0,0,0,0,6,0,6,0.0698739717949179,56.42902149857301,3553
3,0,0,0,1,0,4,0.05708518609195434,56.526639530676654,3558
1,0,0,0,0,0,1,0.042889112926286985,56.553925015927824,3559
1,0,0,0,0,1,2,0.044047838432659775,56.58772164668574,3563
0,0,0,0,0,0,0,0.035238974810747115,56.83301137975543,3568
0,0,4,0,0,0,4,0.030775861448325306,56.89206824417282,3572
0,0,5,0,0,0,5,0.03564925072631469,56.727610363616954,3571
0,0,5,0,0,0,5,0.037038899594781315,56.73946860006659,3568
0,0,5,0,0,0,5,0.040392370779987155,56.6343423205112,3569
0,0,5,0,0,0,5,0.077460785585842,56.50044987579156,3570
0,0,6,0,0,0,6,0.07959613536447091,56.42188655896667,3574
0,0,4,0,6,0,10,0.09046002382945625,56.611184934450044,3580
0,0,3,0,3,0,6,0.08556807656372227,56.825155881679095,3587
0,0,0,0,4,0,4,0.06538757845151648,56.91638936075965,3589
3,0,0,0,6,0,9,0.07243941484684625,56.84674002888335,3593
1,0,1,0,8,0,10,0.0633953158667458,57.0192162179999,3593
2,0,0,0,1,0,3,0.07330000604435961,56.982369196295885,3595
0,0,0,0,0,0,0,0.05879138843780936,57.04047621786211,3594
0,0,0,0,0,0,0,0.04040658655769477,57.28863483086765,3599
1,0,0,0,1,0,2,0.04075341654849817,57.44031196607471,3605
0,0,0,0,5,2,7,0.05503062688413182,57.26452332204958,3604
0,2,2,0,5,0,9,0.07414682042993,56.33541995817122,3605
0,0,7,0,0,0,7,0.06625046839509784,56.85068879639246,3609
0,0,2,0,0,0,2,0.10806111602226286,56.04124535051675,3624
0,0,0,0,0,0,0,0.05776762738797922,56.10836586475422,3625
0,0,0,0,0,0,0,0.04207634353861504,57.82858397043153,3635
0,0,0,0,0,0,0,0.027749003703827334,58.85857164515166,3644
0,0,1,0,0,0,1,0.014913438858767652,58.989460930730786,3646
0,0,0,0,5,0,5,0.036947198942921596,58.88795784488678,3649
0,0,0,0,5,0,5,0.03963280600061286,58.893454455973014,3650
0,0,2,0,6,0,8,0.05543197026291808,58.71895022629968,3646
2,0,0,0,0,0,2,0.0349079783678539,58.878793188187736,3650
0,0,0,0,0,0,0,0.035478254753358716,58.98153430276066,3654
0,0,0,0,0,0,0,0.025472134623818258,59.163709703428225,3659
0,0,1,0,0,0,1,0.022747660191369496,59.18433716570412,3664
0,0,0,0,0,0,0,0.026451637914797606,59.299308356946696,3667
0,0,0,0,0,0,0,0.032741643797843195,59.25930978103309,3669
0,0,2,0,0,0,2,0.028792885886517135,59.31161531303935,3675
0,0,5,0,0,0,5,0.03730234020187465,59.225136353817774,3674
0,0,5,0,0,0,5,0.024437793164367134,59.179374330277824,3669
